"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Cingoli";"cingoli";"NULL";"43.375927470487,13.203206062317";"Marche";"Italia";"NULL"
"Cison di Valmarino";"cison di valmarino";"NULL";"45.990283,12.14653";"Veneto";"Italia";"NULL"
"Cisternino";"cisternino";"NULL";"40.74307,17.42536";"Puglia";"Italia";"NULL"
"Citerna";"citerna";"NULL";"43.498386562319,12.115623950958";"Umbria";"Italia";"NULL"
"Città Sant´Angelo";"città sant´angelo";"NULL";"42.5192407,14.0601666";"Abruzzo";"Italia";"NULL"
"Civita";"civita";"NULL";"39.840177,16.313095";"Calabria";"Italia";"NULL"
"Civita di Bagnoregio";"civita di bagnoregio";"NULL";"42.62708,12.09062";"Lazio";"Italia";"NULL"
"Civitella del Tronto";"civitella del tronto";"NULL";"42.772329482072,13.667507171631";"Abruzzo";"Italia";"NULL"
"Collalto Sabino";"collalto sabino";"NULL";"42.13698,13.04848";"Lazio";"Italia";"NULL"
"Colletta di Castelbianco";"colletta di castelbianco";"NULL";"44.113156631527,8.0748331546783";"Liguria";"Italia";"NULL"
"Compiano";"compiano";"NULL";"44.49814,9.66343";"Emilia Romagna";"Italia";"NULL"
"Conca dei Marini borgo di Marina di Conca";"conca dei marini borgo di marina di conca";"NULL";"40.616656,14.574344";"Campania";"Italia";"NULL"
"Corciano";"corciano";"NULL";"43.12816,12.28616";"Umbria";"Italia";"NULL"
"Cordovado";"cordovado";"NULL";"45.84322,12.88535";"Friuli Venezia Giulia";"Italia";"NULL"
"Coreglia Antelminelli";"coreglia antelminelli";"NULL";"44.06493,10.52668";"Toscana";"Italia";"NULL"
"Corinaldo";"corinaldo";"NULL";"43.64982,13.04836";"Marche";"Italia";"NULL"
"Cornello dei Tasso";"cornello dei tasso";"NULL";"45.902134,9.653739";"Lombardia";"Italia";"NULL"
"Curtatone Borgo di Grazie";"curtatone borgo di grazie";"NULL";"45.153504,10.694770";"Lombardia";"Italia";"NULL"
"Deruta";"deruta";"NULL";"42.9814074,12.4161111";"Umbria";"Italia";"NULL"
"Dozza";"dozza";"NULL";"44.35937,11.62888";"Emilia Romagna";"Italia";"NULL"
"Egna";"egna";"NULL";"46.311911,11.272688";"Trentino Alto Adige";"Italia";"NULL"
"Erice Ospite Onorario 2014/2015";"erice ospite onorario 2014/2015";"NULL";"38.038468,12.586048";"Sicilia";"Italia";"NULL"
"Etroubles";"etroubles";"NULL";"45.821574,7.2304814";"Valle d´Aosta";"Italia";"NULL"
"Fagagna";"fagagna";"NULL";"46.11381,13.09208";"Friuli Venezia Giulia";"Italia";"NULL"
"Ferla";"ferla";"NULL";"37.118555,14.940934";"Sicilia";"Italia";"NULL"
"Finalborgo";"finalborgo";"NULL";"44.17702,8.32501";"Liguria";"Italia";"NULL"
"Fiumalbo";"fiumalbo";"NULL";"44.179988,10.647504";"Emilia Romagna";"Italia";"NULL"
"Fiumefreddo Bruzio";"fiumefreddo bruzio";"NULL";"39.235,16.06906";"Calabria";"Italia";"NULL"
"Fontanellato";"fontanellato";"NULL";"44.881843,10.168723";"Emilia Romagna";"Italia";"NULL"
"Fornelli";"fornelli";"NULL";"41.606683,14.139783";"Molise";"Italia";"NULL"
"Fortunago";"fortunago";"NULL";"44.9224,9.18471";"Lombardia";"Italia";"NULL"
"Framura";"framura";"NULL";"44.208958,9.554329";"Liguria";"Italia";"NULL"
